A1
[[156, 5.0, 56948], [4, 36546, 1/1, 10.942231541768322], 25.886275]
[[156, 5.0, 56948], [5, 36546, 1/1, 12.675455318602808], 37.020533]
[[151, 5.0, 27979], [13, 4055, 3/4, 37.37598821443727], 98.8958]
[[156, 5.0, 56948], [6, 36546, 1/2, 14.701222142011506], 42.921311]
[[223, 5.0, 17242], [14, 62599, 1/2, 47.53428930579453], 455.834311]
[[156, 5.0, 56948], [7, 36546, 1/2, 17.93182260171619], 54.114019]
[[151, 5.0, 27979], [14, 4055, 3/4, 39.81056757652063], 127.17873]
[[156, 5.0, 56948], [8, 36546, 1/2, 21.774947104791124], 56.822679]
[[156, 5.0, 56948], [9, 36546, 1/2, 23.41692918058827], 69.526226]
[[151, 5.0, 27979], [15, 4055, 1/2, 41.208626309700776], 159.437243]
[[156, 5.0, 56948], [10, 36546, 1/2, 26.529557938608843], 78.917866]
[[151, 5.0, 27979], [16, 4055, 1/2, 42.48661121073196], 178.349647]
[[345, 5.0, 87696], [1, 24890, 1/1, 0.47799358841566036], 17.62957]
[[156, 5.0, 56948], [11, 36546, 1/2, 27.341766714351735], 106.977403]
[[345, 5.0, 87696], [2, 24890, 1/1, 2.0609294717858497], 32.459371]
[[223, 5.0, 17242], [15, 62599, 1/2, 49.60146703545287], 549.944253]
[[345, 5.0, 87696], [3, 24890, 1/1, 8.831846601884031], 49.04286]
[[156, 5.0, 56948], [12, 36546, 1/2, 30.62568116250928], 135.846557]
[[345, 5.0, 87696], [4, 24890, 1/1, 12.14377665832455], 71.618877]
[[408, 5.0, 72554], [13, 12720, 1/2, 60.843157057634635], 2160.498335]
[[156, 5.0, 56948], [13, 36546, 1/2, 35.07817153608278], 160.557241]
[[156, 5.0, 56948], [14, 36546, 1/2, 38.29742288746282], 194.335475]
[[345, 5.0, 87696], [5, 24890, 1/1, 16.018888880396425], 118.732831]
[[223, 5.0, 17242], [16, 62599, 1/2, 52.560601315219195], 631.378457]
[[156, 5.0, 56948], [15, 36546, 1/2, 41.48225016682604], 232.380349]
[[345, 5.0, 87696], [6, 24890, 1/1, 18.776317627347265], 186.457946]
[[103, 5.0, 13481], [1, 59864, 1/1, 2.778487410706382], 3.927269]
[[103, 5.0, 13481], [2, 59864, 1/1, 4.996443809119006], 7.504186]
[[156, 5.0, 56948], [16, 36546, 1/2, 45.24221599347823], 269.186801]
[[103, 5.0, 13481], [3, 59864, 1/1, 5.620635214262583], 11.156103]
[[103, 5.0, 13481], [4, 59864, 1/1, 8.147662058435428], 14.710377]
[[103, 5.0, 13481], [5, 59864, 1/1, 10.450777201271352], 18.799677]
[[103, 5.0, 13481], [6, 59864, 1/1, 14.818183060339944], 24.328569]
[[103, 5.0, 13481], [7, 59864, 1/2, 19.24168087013231], 28.428882]
[[345, 5.0, 87696], [7, 24890, 1/1, 19.32419027398992], 273.139622]
[[103, 5.0, 13481], [8, 59864, 1/2, 21.202650054767226], 35.584823]
[[103, 5.0, 13481], [9, 59864, 1/2, 22.564130370608176], 42.202846]
[[103, 5.0, 13481], [10, 59864, 1/2, 23.47338266500235], 52.760391]
[[103, 5.0, 13481], [11, 59864, 1/2, 27.0908551429633], 58.242364]
[[103, 5.0, 13481], [12, 59864, 1/2, 29.297110943671342], 65.528419]
[[345, 5.0, 87696], [8, 24890, 1/1, 21.6097313675678], 400.778774]
[[103, 5.0, 13481], [13, 59864, 1/2, 33.1419602565016], 72.305437]
[[103, 5.0, 13481], [14, 59864, 1/2, 37.59570111774849], 81.500766]
[[454, 5.0, 62946], [1, 72209, 1/1, 6.534682365868606], 34.812316]
[[103, 5.0, 13481], [15, 59864, 1/2, 40.901305218076814], 94.052895]
[[103, 5.0, 13481], [16, 59864, 1/2, 42.37403158096427], 98.744461]
[[454, 5.0, 62946], [2, 72209, 1/1, 12.01539264385616], 68.586722]
[[454, 5.0, 62946], [3, 72209, 1/1, 15.448151793806689], 95.277042]
[[345, 5.0, 87696], [9, 24890, 1/1, 28.05483732912331], 562.166981]
[[454, 5.0, 62946], [4, 72209, 1/1, 19.08964604153758], 188.027898]
[[408, 5.0, 72554], [14, 12720, 1/2, 65.10406435109084], 2714.967528]
[[345, 5.0, 87696], [10, 24890, 1/1, 33.321204301763295], 765.157476]
[[454, 5.0, 62946], [5, 72209, 1/1, 22.904227112831197], 315.661427]
[[454, 5.0, 62946], [6, 72209, 1/1, 27.682879222416773], 462.432811]
[[408, 5.0, 72554], [15, 12720, 1/2, 68.5934175232866], 2981.663681]
[[345, 5.0, 87696], [11, 24890, 1/1, 38.08091075057345], 1007.076053]
[[454, 5.0, 62946], [7, 72209, 1/1, 30.167924904176978], 680.268019]
[[345, 5.0, 87696], [12, 24890, 1/1, 41.11443044754216], 1234.499521]
[[454, 5.0, 62946], [8, 72209, 1/1, 31.420275015859186], 910.154791]
[[408, 5.0, 72554], [16, 12720, 1/2, 72.82999942370128], 3387.723808]
[[345, 5.0, 87696], [13, 24890, 1/1, 45.808702856599616], 1445.651142]
[[454, 5.0, 62946], [9, 72209, 1/1, 36.074726413888314], 1055.427556]
[[345, 5.0, 87696], [14, 24890, 1/1, 51.64658924993016], 1661.513003]
[[345, 5.0, 87696], [15, 24890, 1/1, 57.60192938683997], 1733.348069]
[[454, 5.0, 62946], [10, 72209, 1/2, 42.5311807304466], 1171.800066]
